onset	duration	sample	trial_type	response_time	stim_file	value
1444.3600000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
1445.0180000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1445.0780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1447.1620000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
1447.9620000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1450.0640000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
1450.7420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1450.8160000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1452.9000000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
1453.5540000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1453.6180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1455.7020000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
1456.3260000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1456.3860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1458.4720000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
1459.0580000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1459.1220000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1461.2060000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
1461.7740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1461.8400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1463.9260000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
1464.6740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1464.7420000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1466.8280000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
1467.6280000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1469.7300000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
1470.3100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1470.3800000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1472.4660000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
1473.1420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1473.2160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1475.3000000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
1475.8260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1475.8840000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1477.9700000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
1478.5020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1478.5700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1480.6540000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
1481.2500000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
1483.3560000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
1484.0140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1484.0740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1486.1600000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
1486.7180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1486.7760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1488.8620000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
1489.6620000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1491.7640000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
1492.3340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1492.3980000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1494.4820000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
1495.1380000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1495.2000000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1497.2840000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
1498.0660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1498.1340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1500.2200000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
1501.0200000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1503.1220000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
1503.7860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1503.8560000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1505.9400000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
1506.7340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1506.7920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1508.8760000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
1509.4340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1509.4940000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1511.5780000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
1512.1900000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1512.2620000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1514.3480000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
1514.9620000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1515.0320000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1517.1160000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
1517.6940000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1517.7660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1519.8520000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
1520.4100000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1520.4680000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1522.5540000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
1523.1340000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1523.2040000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1525.2880000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
1525.8060000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1525.8720000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1527.9580000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
1528.5620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1528.6240000000	n/a	n/a	FB: 0	n/a	n/a	S  9
